Name,Review,OverAll,Food,Service,Ambience,Date
Ashley,Celebrated my cousin’s 21st birthday and had a great time! The waitress was very attentative and manager was very welcoming !  Everyone was super friendly. The birthday shot tower was super cute! Overall a great time making my cousin’s big day special!,5,5,5,5,"Dined on October 27, 2024"
Asha,"Great food and service , will visit again. Lovely place",5,5,5,5,"Dined on October 26, 2024"
Margaret,"Had high hopes and fell short. The entrance was cool. But our service was lacking and they were out of two of the drinks we tried to order. Food was definitely not quality very cheap bar food. It was also decorated like summertime at the end of October, which was a let down.￼",3,2,2,4,"Dined on October 26, 2024"
Bev,"Great being able to make a reservation online, staff miserable upon arrival, very hot in foyer and lifts before going to the rooftop. 

Rooftop great and decor, staff gave us drinks menu, no table service offered or happy hour drinks  explained. 

Toilet attendant polite and helpful. Staff appeared miserable and not welcoming. Asked to take group photo, they suggested another bar for better views.",4,3,3,4,"Dined on October 26, 2024"
Omar,"Looks better in pictures, not bad but not wow………..",3,2,3,2,"Dined on October 24, 2024"
Jaimy,I come here every year for my bday and the always have the best Halloween cocktails,5,5,5,5,"Dined on October 24, 2024"
Walt,"We had an event on the rooftop and it was fantastic for all of our guests.  Especially the Bar Service by Michelle, she was so attentive and friendly and she made the whole even better.  

Thanks, Walt Paskowski",5,5,5,5,"Dined on October 22, 2024"
Lauren,Bad atmosphere and service. Will not return or recommend.,1,1,1,1,"Dined on October 20, 2024"
Rob,Overpriced and chaotic. $20 for 2 small tacos. Ordered a beer and it didn’t come until the food was finished. Total waste of money. Plenty of other rooftop dining for way better value that comes with far superior service,1,2,1,3,"Dined on October 20, 2024"
Lori,"It was great and the view of the Empire
State Building was incredible. Very friendly staff as well.",5,5,5,5,"Dined on October 18, 2024"
richard,too loud to talk at 7pm  I understand they want to have a club theme but can we have dinner first?,1,1,1,5,"Dined on October 16, 2024"
Mary,"We went for the Halloween decorations, and it was still decorated for Cowgirl Summer- even though Halloween was 2 weeks away and it was 50 degrees outside. Disappointing - we led immediately to find a better place.",1,1,1,1,"Dined on October 15, 2024"
Marisa,"We checked in with a host on the street level, waited 10mins for elevator to restaurant, checked in with a second host on the restaurant level, only to be asked by our waitress if we were aware hot food would not be served that day due to a gas issue.",2,1,2,5,"Dined on October 13, 2024"
Dawn,"Complete joke.  They shouldn’t even take reservations! We were sat and no one came up to us we tried to flag people down, go to the bar… NO ONE helped us. No drinks, no food… the only person who ever spoke to us was the gentleman at the elevator.",1,1,1,1,"Dined on October 13, 2024"
Tee,I made a reservation for my 8 year anniversary and I would have appreciated either a call from the restaurant or before being seated telling us that the gas was off so they would not be serving any food. I was so upset and did not even get to enjoy my time there we left right away,1,1,1,3,"Dined on October 13, 2024"
safire,Nice vibe with pretty good drinks. Great place to have drinks and hang out. Dj was pretty good and played a nice mix of all genres.,5,5,5,5,"Dined on October 13, 2024"
Simone,The gas was not working so they could not serve hot food at all.  We left.,3,1,2,3,"Dined on October 13, 2024"
Linda,There was no food and they had only watermelon and cold food the service sucks only good for pictures,1,1,1,1,"Dined on October 13, 2024"
Camilo,"Beautiful place, well located, but people isn't nice",4,3,4,3,"Dined on October 12, 2024"
Victoria,"Another over rated TikTok hype. Needs improvement on food menu, prices cannot be justified.",1,1,2,2,"Dined on October 11, 2024"
Brett,"Way too loud for a 6 PM service time. My partner and I couldn’t even speak to one another.

Great food, and service was OK - food came out fast but wish our waitress came over more than two times total during our meal.

Drinks good, fair prices overall. Would recommend for brunch or quick bites before MSG.

Just be ready for an over the top entry process.",3,5,3,1,"Dined on October 6, 2024"
Doron,Good view and okay food and good drinks……………. ……………,5,5,4,4,"Dined on October 5, 2024"
OpenTable Diner,Amazing ambiance... such a fun environment with great drinks & the best food!,5,5,5,5,"Dined on September 29, 2024"
AJ,Went for drinks with my wife and we thought it was lame.,2,1,1,2,"Dined on September 29, 2024"
Jennifer Mary,"My birthday was extremely fun, organized and heartfelt due to the incredible staff at the Magic Hour! Thank you.",5,5,5,5,"Dined on September 29, 2024"
Francis,Great service; the waiter was very nice and the brunch was amazing,5,5,5,5,"Dined on September 28, 2024"
Jules,Waitress never checked on us. Drinks were terrible. Food was good,1,3,1,2,"Dined on September 28, 2024"
Michelle,The food was terrible and cold. They charge $50.00 for pancakes that aren’t edible.,1,1,1,1,"Dined on September 28, 2024"
Bibi,Unfortunately the service and the atmosphere was really bad. Place is great and some of the views but the tables and especially staff were pretty bad and rude.,1,3,1,2,"Dined on September 28, 2024"
Nicole,The atmosphere was fun and we had wine and shrimp tacos at a table for the happy hour rooftop! Server was knowledgeable and on point. Overall great experience!,5,5,5,5,"Dined on September 28, 2024"
Dr Julie,Very loud party scene no views nothing like pictures note like an after work hangout with spring break vibes,2,3,3,1,"Dined on September 27, 2024"
Tony,Fun vibe! Great views! Perfect for groups &bottle service. The staff was on point too,5,5,5,5,"Dined on September 23, 2024"
STEPHANIE,What a fun place to go with your girlfriends! Very fun vibe!!,5,5,5,5,"Dined on September 23, 2024"
Dawn,"We thoroughly enjoyed our time at Magic Lounge. Reservation was easy to make, and our table directly faced a TV. A kind young man put on the Hiants game and we had a great time. Good was good. We sat close to other tables but never heard their conversations. 
We will return!",5,4,5,5,"Dined on September 22, 2024"
OpenTable Diner,"Beautiful restaurant, service and vibe great!  Overpriced, food portions small and not that good.",3,1,5,5,"Dined on September 22, 2024"
Nakia,I was disappointed with the food it was pricey and little.  The drinks were costly and the decorations were poor and disappointing for my daughter 15th birthday.  We were expecting a better vibe.  This is a pass for me in the near future.,2,3,3,2,"Dined on September 21, 2024"
Jennifer,"Service was a little slow and not attentive, but we did spill our drink, and the waitress was kind enough to give us a new one for free. The atmosphere is great. Music is good and energetic.",5,5,5,5,"Dined on September 19, 2024"
Ashanti,Overall ambiance was good. There was hair in the food ( enough said).,3,2,2,4,"Dined on September 15, 2024"
Carmen,"Honestly the sound levels here were off the charts. I couldn't actually have a conversation with my sister who I was there with as I couldn't hear her! We just really sat there and had 1 drink each and some food, we had plans to stay, but it was not a vibe when you can't hear anything but the tunes. We left and went elsewhere. Quite disappointed, especially as we were only in NYC for 3 nights.",3,5,4,4,"Dined on September 15, 2024"
Alexandria,"Magic Hour Rooftop Bar and Lounge was such a great time and vibe. It was our first time there and we were celebrating our friend, who is getting married soon. Everyone from the woman who checked us in outside the building, to the people we met when we got off the elevator. The bartenders were cool and answered our questions as first timers, with the 2 hour bar pass, and our waitress (I believe was Melody), was great (and her curls were poppin'!).

We had a low bar set for food, and even planned where we could grab food after, but the food didn't disappoint and was really good and fulfilling. 

Didn't get to experience the venue after dark, but will definitely visit again to be able to.",5,5,5,5,"Dined on September 15, 2024"
David,We were visiting from Texas with friends. Got there at 9:30 pm on a Friday night. We were sat right away and had someone stop by in less than 1 minute to check on us. The waitress was extremely nice and came by often. Ordered drinks and food at the same time but food hit the table first.  Ordered the suggestions of some of the signature drinks and specialty drinks. They were ok but we were there to have fun and we def did. The place is gorgeous. Soo many opportunities to take pictures for everyone. The backdrop of the city are spectacular on all sides. Would def suggest it to friends and family,5,3,5,5,"Dined on September 14, 2024"
kayla,The bouncer was so rude and ruined the whole experience. The wait staff was not any better so we just left as soon as we sat down.,1,1,1,1,"Dined on September 14, 2024"
Teresa,Food and drinks were overpriced.  Chips stale with guacamole appetizer.  Pretzel was really good however.  Good place for a quick drink before moving elsewhere.,2,2,3,3,"Dined on September 14, 2024"
Hugh,Excellent experience all round. Great vibe and an awesome view.,5,5,5,5,"Dined on September 12, 2024"
OpenTable Diner,Great place to have some drinks with a view of the city.,5,3,4,5,"Dined on September 11, 2024"
jacqueline,We came here for brunch for my daughter’s birthday. The service was good in terms if checking in and short wait times. The food was terrible. We had the pancakes and the taste was bland. The cotton candy on top tasted like cough medicine. The pancakes are really big and the waiters provide really small plates. We ordered sides such as bacon and home fries and the portions were very small. The chicken tenders seemed like they came from a frozen package that you buy at a supermarket. There’s lots of picture opportunities so if you want “instagrammable” pics for over priced bland food then this is the place for you. I will not be returning.,2,1,3,4,"Dined on September 8, 2024"
James,Cool vibe. Good place to grab a drink. Not a good place to eat.,3,2,4,5,"Dined on September 8, 2024"
Ana,"Went for brunch @11:30 it was so so quiet and relaxing and the weather was perfect. The rooftop was open, and it was cloudy with a little mist and a perfect view. Couldn’t dream of going at a better time. The service was great, The girl who took our order was smiley and so friendly. Our order food and drinks was super quick then again we were only three of a few people there at the time. The whole place was an absolute dream Would recommend to anyone!",5,5,5,5,"Dined on September 7, 2024"
Delcie,"Fun place for cute drinks, music, and bar snacks. Very Instagram ready 💛",3,4,4,4,"Dined on September 2, 2024"
OpenTable Diner,"This place is a VIBE!! I had so much fun dancing and the drinks were delicious & strong! The DJ knew the assignment. Now the food, I understand it’s “bar bites” but the bites need to be more big. The street shrimp tacos were so damn good but it only came with TWO. And the chicken tenders were a small portion as well. Other than that, it was a great place to be on a Saturday night!",5,1,3,5,"Dined on September 1, 2024"
DesiGal,Great ambience!! Good food and drinks. Lively environment with great music.,5,5,4,5,"Dined on September 1, 2024"
Haley,"Very cool atmosphere, with views of the Empire State Building. Pamela was great!",5,5,5,5,"Dined on August 31, 2024"
OpenTable Diner,"kids menu literally , margaritas way to sour basically fake lime , 85$ a pitcher sjould be real lime, food was good but simple kids menu motzarrella sticks  quesadilla was good but again  basic food , sliders 2 per order just",2,2,2,3,"Dined on August 26, 2024"
Waleska,I love everything about this rooftop. Wish if the have more food options in the future. I truly enjoy every single corner. Such of great experience and good vibes.,5,5,5,5,"Dined on August 26, 2024"
OpenTable Diner,"Very nice and cute environment, however, too hot, they should have at least a fan in there, also, they were kids running out of control, they should have rules in the place to put in control this behavior.",1,3,5,1,"Dined on August 25, 2024"
Daphne,"The pancakes were not good and the serving was too much, they wouldn’t accommodate with only pancakes as a side order. Service was okay, it took 30min for my party of 4 to receive water. I wouldn’t not return for brunch again.",2,1,2,5,"Dined on August 25, 2024"
OpenTable Diner,I had a really good time. The food was good and the variety of music was good too.  Just enough of energy for a Saturday evening . I will go again.,4,5,3,4,"Dined on August 25, 2024"
julieta,hermoso. !!! experiencia muy linda un lugar hermoso,5,5,5,5,"Dined on August 23, 2024"
Kenneth,Had fun and if was comfortable. Service was good and any issue was resolved,5,4,5,5,"Dined on August 18, 2024"
OpenTable Diner,Loved the experience!! We got the big af croissant and the name is accurate. The drinks were great and the ambiance was beautiful. Loved the surf club decor and the staff was amazing. Will be going back,5,5,5,5,"Dined on August 18, 2024"
Aldo,"Terrible service.

I booked this place for a birthday celebration, and we agreed multiple times via email that they would accept the cake delivery. In fact, they even offered to buy the cake elsewhere and have it delivered to their premises. However, when the delivery driver arrived, they refused to accept the cake.

After some effort, I finally convinced them to take it, but when I arrived at the venue, they never served the cake as agreed. I waited for a long time, and the staff had no idea what I was talking about.

I ended up spending even more money going to a different place.

The music was also incredibly loud.",1,1,1,1,"Dined on August 18, 2024"
OpenTable Diner,"Need a little more food selection, and either bigger dishes or lower the price a bit.",4,4,5,4,"Dined on August 17, 2024"
shrecchi,"Service was great.
It was not like what I expected ""fancy & fun"" ""Instagram worth"" kind of place",3,3,5,4,"Dined on August 17, 2024"
Carla,"We walked up and the hostess was very rude, looking down at her phone rude and acting like she didn’t see us standing there. It was our first time there so we were excited and that instantly gave us bad vibes.  After we got off the elevator, we were walking around and no one was really helpful or letting us know where to go. Another group of people we rode the elevator with said the same thing- very unhelpful staff before you actually got to the bar. 
Once inside the rooftop, service was great and the  ambience, food and drinks were top notch though.",4,4,5,5,"Dined on August 17, 2024"
Christopher,"We sat down at our table, and the waitress knew little to nothing about the menu. After ordering the waitress came back and told me that my food choice had been taken off of the menu and they just didn’t fix it yet. I said “ok, no problem, I’m going to just have the round of drinks that we selected and then you can bring me the check”. I was then told “but I already put the appetizers in, and how do you want to handle that?” She then told me that they needed to hold my card for the tab. The drinks were terrible, the shrimp tacos were okay. That was my first and last time going to Magic hour. There was nothing magical about it. If you’re looking for good photo opportunities then I would say go, but don’t go hungry or expect much quality of service because it was terrible.",1,2,1,4,"Dined on August 16, 2024"
Orlando,Excelente lugar y ambiente. Los cocteles fueron muy buenos!,5,5,5,5,"Dined on August 14, 2024"
Michael,"The whole reason we tried to go to Magic Hour was to shoot a nice video for Instagram.  The website called it “the most Instagrammable spot in NYC!”  When we got there, we were told there were no cameras of any sort allowed and were asked to check all of our belongings.  We simple turned around and left!  I won’t be returning!",1,1,1,1,"Dined on August 14, 2024"
Amy,"Beautiful rooftop with really fun photo ops. Wait staff was very nice. Very hard to eat anything but finger food as half the restaurant is low coffee tables, and the plates/utensils did not match the needs of the food. Most food was very good, but the ice cream sandwich was neither ice cream nor a sandwich. It was rock hard sherbet with a thin weird chocolate wafer.",3,3,4,5,"Dined on August 11, 2024"
Maura,"Doesn't hurt that it was a nice day and I was in good company, but the staff was extremely pleasant and the brunch food was excellent.  One of our guests was late and the staff didn't rush us at all.  The music and the decor was fun.  A good time was had.",5,5,5,5,"Dined on August 11, 2024"
OpenTable Diner,Very nice place to brunch and dinner the carousel was amazing,5,5,5,5,"Dined on August 11, 2024"
WendyA,We had a great time going here on my birthday.   Drinks and food were really good and our server was very attentive.  Great atmosphere too.  Highly recommend.,5,5,5,5,"Dined on August 6, 2024"
Sparkleboy,"A very cool pic worthy experience. The food and drinks were tasty. The down fall was the uncomfortable benches at every table outside, I know it’s outdoors but maybe a cushion please?",4,4,4,5,"Dined on August 4, 2024"
Rebecca,"If you are looking for a place that has cute, social media ready decor, this is for you. Unfortunately, they don’t have much going for them besides that. The tables are round and awkward, making group interaction difficult. The service was subpar. Once we ordered our first round of drinks we kept having to flag them down because they never checked in. The price of the food was outrageous considering it was a step above fast food. I’m a native NYer so I expect that in midtown Manhattan. The drinks were good so I’d recommend a quick stop if you must for happy hour and forget the food. Not worth it.",2,2,1,3,"Dined on August 4, 2024"
Gremaris,"The food was pretty good, drinks were delicious and ambience was good. It was a fun place to be with friends.",5,4,4,4,"Dined on August 4, 2024"
OpenTable Diner,"This was definitely a place that looked better on social media than in person. Food was okay, drinks are over priced for what you get.",2,2,2,2,"Dined on August 4, 2024"
Kayleigh,"Hospital cafeteria food would have tasted better, service was lacking, drinks were watered down",1,1,1,1,"Dined on August 3, 2024"
OpenTable Diner,"Cute atmosphere, food was tasty but very expensive for what you actually get. Drinks were also very pricey.",3,4,3,4,"Dined on August 3, 2024"
OpenTable Diner,"Way too loud
Not enough good options
Poor seating designs

GREAT coffee",1,2,2,2,"Dined on July 28, 2024"
SuzK,"We arrived early for an 11:45 reservation and were able to be seated.  Rooftop was almost completely covered so  more like top floor.  Music was incredibly loud and not in a 'get up and dance' way, just loud.  We ordered two manhattans that were well made with a total cost of $54 with tip.  Will not revisit.",3,3,3,3,"Dined on July 28, 2024"
OpenTable Diner,Was great music and views were killer from rooftop.,5,4,5,5,"Dined on July 28, 2024"
SoniaF,We wanted to have a drink on a rooftop for my husband's birthday. This location did not disappoint. A great view of the Empire State Building. The service was AMAZING.  The food was good and the Mr. Pink was fabulous.  Great music and the vibe was just what I expected.,5,4,5,5,"Dined on July 28, 2024"
OpenTable Diner,"It wasn’t bad but it wasn’t that great . Portion size was more like a tapas bar so small plates
I would say it’s average",3,3,2,5,"Dined on July 27, 2024"
OpenTable Diner,Eat place for a group. Great place for some fun pictures,5,4,4,5,"Dined on July 27, 2024"
OpenTable Diner,It was cute rooftop a little overpriced and chips and guacamole was more like a tasting size (small),3,2,4,3,"Dined on July 27, 2024"
OpenTable Diner,Too expensive honestly …. Not enough food on the menu,5,3,5,5,"Dined on July 27, 2024"
MariaV,We were hanging out by the bar and it took over 45 min to get our table set up.   Food was mediocre.   It was a client meeting so it fell below expectations,3,2,3,2,"Dined on July 26, 2024"
OpenTable Diner,This place is a great rooftop spot. I keep returning here because I love it so much. Service is usually sub par but I have to admit… I have yet to find a bar/restaurant in NYC that had good service.,5,5,2,5,"Dined on July 24, 2024"
NicholeW,"I made a reservation and was sat at my table by the hostess. A server never came by. When we flagged a hostess down, she said that we had yo go to the bar and order because our reserved sign was still on the table. After I explained, we had a reservation, she stated she would take our order. We asked for water and ice and never received it. We left and didn't get a chance to eat.",1,1,1,3,"Dined on July 22, 2024"
OpenTable Diner,Waitress was not attentive at all. We walked in and waited for service at table. Waitress only came 1 to see if we were fine then took so long for the check to arrive. Will not be revisiting,1,5,1,2,"Dined on July 21, 2024"
OpenTable Diner,"Best brunch in Times Square!  Great music , food and vibes",5,5,5,5,"Dined on July 20, 2024"
OpenTable Diner,The food and drinks are so expensive ! Two tacos for $16? A cocktail $20 the only nice thing about this place is the views and the staff is nice,2,2,4,4,"Dined on July 20, 2024"
NickiD,"Pam was our server and she was amazing. Loved her nails as well. Food was good, loved that we ordered a pitcher and our cups were still decorated. Drinks were tasty and gave us a little buzz. Love the decor as well",5,5,5,5,"Dined on July 20, 2024"
LauraM,Friendly staff and beautiful atmosphere. Would go again,5,5,4,5,"Dined on July 16, 2024"
OpenTable Diner,"Nice place, good food, but the music was too loud.",3,5,5,4,"Dined on July 15, 2024"
OpenTable Diner,Food was not the best. Rooftop was beautiful but we ate on a very hot day,3,2,4,3,"Dined on July 14, 2024"
OpenTable Diner,Food was great. Environment was amazing. Decor was cute!,5,5,5,5,"Dined on July 14, 2024"
OpenTable Diner,"The bartenders were top notch and the hostess was helpful. I had a hard time finding the hostess at first but it all worked out. 

The ambiance absolutely exceeded my expectations and magic hour is definitely one of my new favorite spots now.",5,4,5,5,"Dined on July 14, 2024"
OpenTable Diner,Loved going here it was a great time and great atmosphere,5,5,5,5,"Dined on July 14, 2024"
OpenTable Diner,"Nice cocktails, good prices. We like it!! Beautiful views of Empire States.",4,4,4,4,"Dined on July 8, 2024"
OpenTable Diner,Definitely a tourist trap. Music was not great. They played a bunch of outdated pop songs. Drinks were extremely expensive even by New York standards. Couldn’t even hear the music throughout the venue just in a certain section. Highly don’t recommend.,1,1,2,1,"Dined on July 7, 2024"
OpenTable Diner,"This place was soo awful for several reasons. To start, we didn’t feel welcome at all. This place is like a jail they’ll have you walk through all these dark halls and if you walk the wrong way they’ll yell at you even though the place is empty. As soon as I walked in the bag check lady immediately yelled at me to check my bag in. She had a god awful attitude from miles away I didn’t even trust my bag with her she seemed very off and miserable. Then after 10 mins of waiting for the elevator and being redirected and yelled at we finally catch the elevator upstairs. You’d think it would get better right? Absolutely not. There was no hostess whatsoever up there to seat us. We asked 3 different workers where the hostess was and they all guided us different places and ironically none had a hostess to be found. Why treat us like prisioners, make us check in our bags, follow specific directions how to get through the tiny building to make it seem mysterious. The place was so empty there was no reason for us to get treated like that. Terrible terrible terrible place we immediately left. NEVER come here if you want to get treated like you’re back in preschool. Would love to sit down with the manager and question why the hell he hired half the people there. So rude never coming back. We immediately went to 230 rooftop and it was sooo much better. Magic hour was just such a bad vibe it’ll put you in a bad mood because everyone there is so cranky and wants to have the one up over you even though the place is empty and garbage. Bad place if a hostess can’t even sit you and they’re no where to be found… got so tired of waiting and being mislead by workers we left",1,1,1,1,"Dined on July 7, 2024"
OpenTable Diner,"Impossible to enjoy with tremendous heat, On summer need fans or something to cool",1,2,4,2,"Dined on July 7, 2024"
OpenTable Diner,The only thing that we enjoyed at the ambiance.  It took 15 min just for the server to come to our table even though she passed us several times.  Our mozzarella sticks came out almost instantly after we ordered them and were not the greatest at all.  We all ordered soda and it tasted like the bar gun was dirty.  The soda tasted spicy.  I was definitely not somewhere we would go again.,1,1,1,5,"Dined on July 6, 2024"
OpenTable Diner,"The staff was great, vibe was energetic and welcoming.",5,5,5,5,"Dined on July 5, 2024"
OpenTable Diner,"For our anniversary we decided to go there and we were happy with the services and they made sure you could take pictures with your loved
Thank you so much we had a great time 😘😘😘❤️❤️",5,5,5,4,"Dined on July 2, 2024"
OpenTable Diner,"The vibe was awesome but there are no vegan options, and for what we paid for an “avocado toast” was just not worth it.",3,2,4,5,"Dined on June 29, 2024"
AshleyM,"Too young of a crowd. The Photo Booth took too long to print, so we didnt get our pictures. The bar was crowded so even with reservations we couldn’t really get service. Would maybe try again on a week night",3,2,3,2,"Dined on June 29, 2024"
OpenTable Diner,The service took forever and 4 people to be acknowledged and get water.  Food came before drinks.  Drink came out wrong because the one I ordered from the menu was “no longer available”.,3,4,2,4,"Dined on June 29, 2024"
AmadaA,"The service is quite terrible. The host at the entrance is not at all friendly. Once we finally got in despite having reservations, you go up in am elevator and it’s a maze to get to the check in spot. There was no one available to check us in but we also didn’t know what to do as there was no one to guide us.
We finally encounter the second host that took us to our table.
The drinks were mediocre, the DJ was great. The food was terrible. It’s Tao restaurant so very surprising that it’s this bad!",1,1,2,3,"Dined on June 29, 2024"
OpenTable Diner,"Our experience at Magic Hour was amazing! Thank you so much to everyone involved last night making us feel special.
The ambiance and decoration of the place for this summer is beyond what we expected and we had a lot of fun taking pictures with the props.",5,5,5,5,"Dined on June 28, 2024"
OpenTable Diner,Dingy chachi and overpriced. Was looking for a pretty place to sip some happy hour drinks before a show and got met with stains and “happy hour is only if you are sitting at the bar”. Not cute.,1,3,2,1,"Dined on June 28, 2024"
OpenTable Diner,The drinks we had were horrible and hard to drink.,3,2,2,2,"Dined on June 26, 2024"
OpenTable Diner,"It was the first time attending Magic Hour. We chose this place to celebrate my husband’s birthday. However, that day July 25th, half of the place was closed off for special events which didn’t allow us to have the full experience of all parts of the bar and lounge so it was a little disappointing but we made the best of it since we were already reserved to be there. It would be nice that they inform people when this happens.",2,4,5,3,"Dined on June 26, 2024"
OpenTable Diner,Food and drinks were just ok and the aesthetic section was blocked off for an event. Food took a long time to come out but a highlight was that our waitress was great!,2,2,5,4,"Dined on June 25, 2024"
OpenTable Diner,Very lively spot especially on the weekends.  Has great views of the Empire State Building and the skyline.  The food and drinks were excellent.   The bartenders were fast and very good but the table servers didn't check on you often enough.,5,5,3,5,"Dined on June 23, 2024"
OpenTable Diner,"Everything was perfect but some people got drunk, I was sitting in the middle and a lot of people were touching me.",4,4,5,5,"Dined on June 23, 2024"
OpenTable Diner,We had our friends bachelorette party and we had an amazing time! The drinks were good the music was fantastic,5,5,5,5,"Dined on June 23, 2024"
KristenI,"Such a vibe! Good music, amazing burger sliders, and such pretty decorations! Had a blast",5,5,5,5,"Dined on June 22, 2024"
Michelle,"Food is overpriced, bland, and portions are tiny. Good spot for 1 drink and photos. That’s about it.",4,3,4,5,"Dined on June 22, 2024"
OpenTable Diner,"First off, drinks are overly priced and the woman working at the bar was super indifferent!!! You’d think she was doing me a favor when taking my drink order. Overall, not a friendly place at all and I’ll never go back. Fine for tourists but as a NYer I felt totally disrespected. One of the hostess was super sweet but the vibe wasn’t working for me.",4,3,3,3,"Dined on June 21, 2024"
LisaY,"Cool rooftop spot. Staff was friendly at entry & wished my husband and happy birthday. Upstairs no recognition or happy birthday “surprise”. I finally asked and said I can order something for him. I said sure, then was advised the kitchen was closed. 🤯.",4,4,4,5,"Dined on June 20, 2024"
OpenTable Diner,"We didn't have food so can't rate the food. The drinks were fabulous and the bartender was wonderful and friendly.
However, the hostess, the waitress on the 18th floor, and everyone we met between the sidewalk and exiting the elevator on the 18th floor were unprofessional, not helpful and downright rude.",2,3,1,4,"Dined on June 20, 2024"
